year,gvkey,njob,njob_narrowai,ai_score,,,
2011,1632,1,0,0,,,
2012,1632,3,0,0,,,
2013,1632,174,3,0.017241379,,,
2014,1632,222,8,0.036036036,,,
2015,1632,383,7,0.018276762,,,
2016,1632,190,4,0.021052632,,,
2017,1632,47,0,0,,,
2018,1632,26,0,0,,,
2007,1690,2471,5,0.002023472,,,
2010,1690,4599,13,0.002826701,,,
2011,1690,6704,68,0.010143198,,,
2012,1690,8618,96,0.011139476,,,
2013,1690,7058,194,0.02748654,,,
2014,1690,7392,274,0.0370671,,,
2015,1690,11846,497,0.04195509,,,
2016,1690,11621,701,0.060321831,,,
2017,1690,12414,1013,0.081601418,,,
2018,1690,14793,1241,0.08389103,,,
2007,3226,13740,5,0.000363901,,,
2010,3226,10304,5,0.000485248,,,
2011,3226,12912,6,0.000464684,,,
2012,3226,18887,1,5.29465E-05,,,
2013,3226,15290,14,0.000915631,,,
2014,3226,7869,16,0.002033295,,,
2015,3226,15074,59,0.003914024,,,
2016,3226,16662,100,0.00600168,,,
2017,3226,18717,142,0.007586686,,,
2018,3226,18716,185,0.009884591,,0,Min
2010,3707,22,0,0,,0.2,Max
2011,3707,34,0,0,,0.011830021,Ave
2012,3707,7,0,0,,0.026465281,Stdev
2013,3707,1075,3,0.002790698,,,
2014,3707,1635,26,0.015902141,,,
2015,3707,1845,18,0.009756098,,,
2016,3707,1479,2,0.001352265,,,
2017,3707,939,7,0.007454739,,,
2018,3707,590,1,0.001694915,,,
2007,6008,2071,17,0.008208595,,,
2010,6008,4322,21,0.004858862,,,
2011,6008,6522,49,0.007513033,,,
2012,6008,6048,46,0.00760582,,,
2013,6008,5832,95,0.016289438,,,
2014,6008,5825,131,0.02248927,,,
2015,6008,7394,228,0.030835813,,,
2016,6008,6446,286,0.044368601,,,
2017,6008,8410,624,0.074197384,,,
2018,6008,7108,576,0.081035453,,,
2012,7260,2,0,0,,,
2013,7260,714,0,0,,,
2014,7260,404,0,0,,,
2015,7260,341,0,0,,,
2016,7260,123,0,0,,,
2017,7260,10,0,0,,,
2018,7260,109,2,0.018348624,,,
2007,7343,400,1,0.0025,,,
2010,7343,513,0,0,,,
2011,7343,1431,0,0,,,
2012,7343,1317,0,0,,,
2013,7343,905,0,0,,,
2014,7343,1211,8,0.006606111,,,
2015,7343,2070,14,0.006763285,,,
2016,7343,1516,21,0.013852243,,,
2017,7343,2014,27,0.013406157,,,
2018,7343,3021,78,0.025819265,,,
2007,7759,187,0,0,,,
2010,7759,452,0,0,,,
2011,7759,710,0,0,,,
2012,7759,1266,0,0,,,
2013,7759,908,0,0,,,
2014,7759,656,0,0,,,
2015,7759,443,2,0.004514673,,,
2016,7759,486,0,0,,,
2017,7759,899,0,0,,,
2018,7759,861,0,0,,,
2007,8599,83,0,0,,,
2010,8599,226,0,0,,,
2011,8599,169,0,0,,,
2012,8599,184,0,0,,,
2013,8599,151,0,0,,,
