CIK,CompanyName,Excluded CIK,
0000002488,ADVANCED MICRO DEVICES INC,0001372514,KIORA PHARMACEUTICALS INC
0000320193,Apple Inc.,0001517396,STRATASYS LTD.
0000789019,MICROSOFT CORP,0000860730,"HCA Healthcare, Inc."
0000006281,ANALOG DEVICES INC,0001056288,"FEDERATED HERMES, INC."
0000723125,MICRON TECHNOLOGY INC,,
0000106040,WESTERN DIGITAL CORP,,
0001341439,ORACLE CORP,,
0000813672,CADENCE DESIGN SYSTEMS INC,,
0001571123,Science Applications International Corp,,
0000769397,"Autodesk, Inc.",,
0001024478,"ROCKWELL AUTOMATION, INC",,
0000814547,FAIR ISAAC CORP,,
0001633917,"PayPal Holdings, Inc.",,
0000796343,ADOBE INC.,,
0000820081,Cambrex Corp,,
0000857005,PTC INC.,,
0001591698,Paylocity Holding Corp,,
0000779152,JACK HENRY & ASSOCIATES INC,,
0000798354,FISERV INC,,
0001327811,"Workday, Inc.",,
0001590955,"Paycom Software, Inc.",,
0000858877,"CISCO SYSTEMS, INC.",,
0001404655,HUBSPOT INC,,
0000804328,QUALCOMM INC/DE,,
0001650372,Atlassian Corp,,
0000050863,INTEL CORP,,
0001107843,"QUALYS, INC.",,
0000883241,SYNOPSYS INC,,
0000896878,INTUIT INC.,,
0001014473,VERISIGN INC/CA,,
0001707092,Delphi Technologies,,
0001713683,"Zscaler, Inc.",,
0001261333,"DOCUSIGN, INC.",,
0001560327,"Rapid7, Inc.",,
0001512673,"Block, Inc.",,
0001441816,"MongoDB, Inc.",,
0001467623,"DROPBOX, INC.",,
0001447362,CASTLE BIOSCIENCES INC,,
0001585521,"Zoom Communications, Inc.",,
0001477333,"Cloudflare, Inc.",,
0001561550,"Datadog, Inc.",,
0001321655,Palantir Technologies Inc.,,
0001577526,"C3.ai, Inc.",,
0001699838,Confluent Inc,,
0001402436,SS&C Technologies Holdings Inc,,
0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,,
0001327567,Palo Alto Networks Inc,,
0001018724,AMAZON COM INC,,
0001062579,AMDOCS LTD,,
0001045810,NVIDIA CORP,,
0001660134,"Okta, Inc.",,
0000935036,"ACI WORLDWIDE, INC.",,
0001015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,,
0001086222,AKAMAI TECHNOLOGIES INC,,
0001166388,Verinet Systems Inc,,
0001373715,"ServiceNow, Inc.",,
0001065280,NETFLIX INC,,
0001108524,"Salesforce, Inc.",,
0001652044,Alphabet Inc.,,
0001336920,"Leidos Holdings, Inc.",,
0001353283,Splunk Inc,,
0001326801,"Meta Platforms, Inc.",,
0001352010,"EPAM Systems, Inc.",,
0001535527,"CrowdStrike Holdings, Inc.",,
0001734722,"UiPath, Inc.",,
0001000184,SAP SE,,
0001443646,Booz Allen Hamilton Holding Corp,,
0001169561,COMMVAULT SYSTEMS INC,,
0000816761,TERADATA CORP /DE/,,
0001730168,Broadcom Inc.,,
0001262039,"Fortinet, Inc.",,
0001640147,Snowflake Inc.,,
