(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(gvkey) Global Company Key,(datadate) Data Date,(conm) Company Name,(tic) Ticker Symbol,(cik) CIK Number,(exchg) Stock Exchange Code,(sic) Standard Industry Classification Code,(act) Current Assets - Total,(ap) Accounts Payable - Trade,"(apb) Accounts Payable/Creditors - Brokers, Dealers, and Cleari",(apc) Accounts Payable/Creditors - Customer,(apofs) Accounts Payable/Creditors - Other - FS,"(arb) Accounts Receivable/Debtors - Brokers, Dealers, and Clear",(arc) Accounts Receivable/Debtors - Customer,(artfs) Accounts Receivable/Debtors - Total,(at) Assets - Total,(bast) Average Short-Term Borrowings,(bkvlps) Book Value Per Share,(ceq) Common/Ordinary Equity - Total,(ch) Cash,(che) Cash and Short-Term Investments,(cstk) Common/Ordinary Stock (Capital),(dcpstk) Convertible Debt and Preferred Stock,(dd1) Long-Term Debt Due in One Year,(dd2) Debt - Due in 2nd Year,(dd3) Debt - Due in 3rd Year,(dd4) Debt - Due in 4th Year,(dd5) Debt - Due in 5th Year,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(invt) Inventories - Total,(lct) Current Liabilities - Total,(mrc1) Rental Commitments - Minimum - 1st Year,(np) Notes Payable - Short-Term Borrowings,"(ppegt) Property, Plant and Equipment - Total (Gross)","(ppenb) Property, Plant, and Equipment - Buildings (Net)","(ppent) Property, Plant and Equipment - Total (Net)",(pstk) Preferred/Preference Stock (Capital) - Total,(pstkl) Preferred Stock - Liquidating Value,(pstkrv) Preferred Stock - Redemption Value,(re) Retained Earnings,(seq) Stockholders Equity - Parent,(txditc) Deferred Taxes and Investment Tax Credit,(wcap) Working Capital (Balance Sheet),(cogs) Cost of Goods Sold,(dp) Depreciation and Amortization,(dvc) Dividends Common/Ordinary,(dvp) Dividends - Preferred/Preference,(dvpd) Cash Dividends Paid,(dvt) Dividends - Total,(ebit) Earnings Before Interest and Taxes,(ebitda) Earnings Before Interest,(epsfi) Earnings Per Share (Diluted) - Including Extraordinary,(epsfx) Earnings Per Share (Diluted) - Excluding Extraordinary,(epspi) Earnings Per Share (Basic) - Including Extraordinary It,(epspx) Earnings Per Share (Basic) - Excluding Extraordinary It,(ib) Income Before Extraordinary Items,(ni) Net Income (Loss),(oiadp) Operating Income After Depreciation,(oibdp) Operating Income Before Depreciation,(pi) Pretax Income,(revt) Revenue - Total,(sale) Sales/Turnover (Net),(xad) Advertising Expense,(xagt) Administrative and General Expense - Total,(xint) Interest and Related Expense - Total,(xintd) Interest Expense - Long-Term Debt,(xlr) Staff Expense - Total,(xopr) Operating Expenses - Total,(xpr) Pension and Retirement Expense,(xrd) Research and Development Expense,"(xsga) Selling, General and Administrative Expense",(xstf) Staff Expense (Income Account),(xstfws) Staff Expense - Wages and Salaries,(xt) Expense - Total,(apalch) Accounts Payable and Accrued Liabilities - Increase/(D,(aqc) Acquisitions,(capx) Capital Expenditures,(cdvc) Cash Dividends on Common Stock (Cash Flow),(dv) Cash Dividends (Cash Flow),(invch) Inventory - Decrease (Increase),(recch) Accounts Receivable - Decrease (Increase),(sppe) Sale of Property,(cshfd) Common Shares Used to Calc Earnings Per Share - Fully D,(cshi) Common Shares Issued,(csho) Common Shares Outstanding,(cshpri) Common Shares Used to Calculate Earnings Per Share - B,(dt) Total Debt Including Current,(emp) Employees,(prcc_c) Price Close - Annual - Calendar,(prcc_f) Price Close - Annual - Fiscal
A,USD,STD,INDL,C,001632,31/10/15,ANALOG DEVICES INC,ADI,0000006281,14,3674,4079.548,174.247,,,,,,,7062.178,,16.2563,5072.959,884.353,3028.928,52.011,0,374.839,498.497,0,0,0,374.839,498.497,412.314,1113.83,21.78,0,2602.095,,644.11,0,0,0,4386.464,5072.959,227.376,2965.718,1041.908,222.24,491.059,0,,491.059,1064.392,1286.632,2.2,2.2,2.23,2.23,696.878,696.878,1064.392,1286.632,810.114,3435.092,3435.092,3.3,,27.03,,,2148.46,281.947,637.459,1106.552,,,,,7.065,153.96,,491.059,-35.557,-71.198,0,316.872,312.061,312.061,312.66,873.336,9.7,55.32,60.12
A,USD,STD,INDL,C,001632,31/10/16,ANALOG DEVICES INC,ADI,0000006281,14,3674,4974.863,171.439,,,,,,,7970.278,,16.7622,5165.618,921.132,4055.793,51.363,0,0,0,0,0,0,0,1732.177,376.555,782.934,34.328,0,2676.878,,636.116,0,0,0,4711.985,5165.618,109.931,4191.929,1054.569,209.79,513.18,0,,513.18,1056.203,1265.993,2.76,2.76,2.79,2.79,861.664,861.664,1056.203,1265.993,956.921,3421.409,3421.409,4.7,,75.092,,,2155.416,55.2,653.816,1100.847,,,,,83.17,127.397,,513.18,38.221,-9.392,,312.308,308.171,308.171,308.736,1732.177,10,72.62,64.1
A,USD,STD,INDL,C,001632,31/10/17,ANALOG DEVICES INC,ADI,0000006281,14,3674,2351.338,236.629,,,,,,,21141.294,,27.5652,10161.54,1047.838,1047.838,61.441,0,300,0,1646.73,0,2491.517,300,7551.084,550.816,1596.332,41.795,0,3304.427,,1107.304,0,0,0,4849.58,10161.54,1674.683,755.006,1400.481,584.059,602.119,0,,602.119,1534.052,2118.111,2.07,2.07,2.09,2.09,727.259,727.259,1534.052,2118.111,828.485,5107.503,5107.503,12.6,,243.626,,,2989.392,68.8,968.602,1588.911,,,,,9632.568,204.098,,602.119,-47.354,-65.669,,350.484,368.636,368.636,346.371,7851.084,15.3,89.03,91.3
A,USD,STD,INDL,C,001632,31/10/18,ANALOG DEVICES INC,ADI,0000006281,14,3674,2112.126,260.919,,,,,,,20449.779,,29.6859,10988.54,816.591,816.591,61.694,0,67,656.409,446.656,1745.667,497.187,67,6265.674,586.76,1406.138,39.293,0,3527.825,,1154.328,0,0,0,5644.624,10988.54,927.065,705.988,1597.479,799.063,703.307,0,,703.307,1968.652,2767.715,3.97,3.97,4.02,4.02,1495.432,1495.432,1968.652,2767.715,1638.517,6200.942,6200.942,10.4,,253.589,,,3433.227,77.7,1165.41,1835.748,,,,,52.839,254.876,,703.307,-34.636,45.979,,374.938,370.16,370.16,370.43,6332.674,15.8,85.83,83.71
A,USD,STD,INDL,C,001632,31/10/19,ANALOG DEVICES INC,ADI,0000006281,14,3674,1985.126,225.27,,,,,,,21392.641,,31.7924,11709.188,648.322,648.322,61.385,0,299.667,448.181,1323.082,497.8,546.381,299.667,5192.252,609.886,1508.632,79.789,0,3811.257,,1219.989,0,0,0,6711.454,11709.188,2088.212,476.494,1595.105,811.251,777.481,0,,777.481,1806.267,2617.518,3.65,3.65,3.68,3.68,1363.011,1363.011,1806.267,2617.518,1485.728,5991.065,5991.065,,,229.075,,,3373.547,83.5,1130.348,1778.442,,,,-6.371,11.17,275.372,,777.481,-42.771,5.89,,372.871,368.302,368.302,369.133,5491.919,16.4,118.84,106.63
A,USD,STD,INDL,C,001632,31/10/20,ANALOG DEVICES INC,ADI,0000006281,14,3674,2517.688,227.273,,,,,,,21468.603,,32.4721,11997.945,1055.86,1055.86,61.582,0,39.923,1323.991,498.411,547.259,396.084,39.923,5433.594,608.26,1364.986,49.526,0,4142.281,,1377.186,0,0,0,6986.777,11997.945,1919.595,1152.702,1531.11,810.923,886.155,0,,886.155,1610.679,2421.602,3.28,3.28,3.31,3.31,1220.761,1220.761,1610.679,2421.602,1311.617,5603.056,5603.056,,,193.305,,,3181.454,86.3,1050.519,1650.344,,,,103.104,14.196,165.692,,886.155,1.76,-101.626,,371.973,369.485,369.485,368.633,5473.517,15.9,147.73,118.53
A,USD,STD,INDL,C,001632,31/10/21,ANALOG DEVICES INC,ADI,0000006281,14,3674,5378.317,443.434,,,,,,,52322.071,,72.3211,37992.542,1977.964,1977.964,87.554,0,569.239,516.663,496.909,396.971,893.466,569.239,6548.994,1200.61,2770.312,61.855,0,5214.839,,2258.593,0,0,0,7330.751,37992.542,3938.83,2608.005,2255.451,1074.634,1109.344,0,,1109.344,1889.516,2964.15,3.46,3.46,3.5,3.5,1390.422,1390.422,1889.516,2964.15,1328.714,7318.286,7318.286,,,184.825,,,4354.136,98,1296.126,2098.685,,,,208.444,-2425.6,343.676,,1109.344,-65.114,-114.504,35.714,401.288,525.331,525.331,397.462,7118.233,24.7,175.77,173.49
A,USD,STD,INDL,C,001632,31/10/22,ANALOG DEVICES INC,ADI,0000006281,14,3674,4937.992,582.16,,,,,,,50302.35,,71.5995,36465.323,1470.572,1470.572,84.88,0,53.628,498.027,397.855,894.742,542.493,53.628,6885.904,1399.914,2442.655,31.199,0,5812.504,,2664.301,0,0,0,8523.173,36465.323,3622.538,2495.337,2925.156,2297.499,1544.552,0,,1544.552,3858.571,6156.07,5.25,5.25,5.29,5.29,2748.561,2748.561,3858.571,6156.07,3098.749,12013.953,12013.953,,,200.408,,,5857.883,116.6,1700.518,2932.727,,,,171.772,0,699.308,,1544.552,-470.725,-343.908,,523.178,509.296,509.296,519.226,6939.532,24.45,164.03,142.62
A,USD,STD,INDL,C,001632,31/10/23,ANALOG DEVICES INC,ADI,0000006281,14,3674,4384.022,493.041,,,,,,,48794.478,,71.666,35565.122,958.061,958.061,82.712,0,563.797,400,0,1340.212,750,1111.021,6262.917,1642.214,3200.971,80.998,547.224,6921.152,,3496.377,0,0,0,10168.496,35565.122,3127.852,1183.051,3094.836,2293.103,1679.106,0,,1679.106,3990.891,6283.994,6.55,6.55,6.6,6.6,3314.579,3314.579,3990.891,6283.994,3608.003,12305.539,12305.539,,,264.641,,,6021.545,131.3,1660.194,2926.709,,,,-499.316,0,1261.463,,1679.106,-242.299,330.728,,505.959,496.262,496.262,502.232,6826.714,26,198.56,157.33
A,USD,STD,INDL,C,001632,31/10/24,ANALOG DEVICES INC,ADI,0000006281,14,3674,5484.654,487.457,,,,,,,48228.277,,70.8776,35176.317,1991.342,2363.164,82.718,0,467.766,0,1340.212,750,0,1015.504,6952.883,1447.687,2988.28,83.059,547.738,7430.536,,3658.098,0,0,0,10011.356,35176.317,2624.392,2496.374,2696.282,2104.316,1795.459,0,,1795.459,2070.056,4174.372,3.28,3.28,3.3,3.3,1635.273,1635.273,2070.056,4174.372,1777.34,9427.157,9427.157,,,322.227,,,5252.785,131.2,1487.863,2556.503,,,,-133.758,0,730.463,,1795.459,191.17,133.402,,498.697,496.297,496.297,496.166,7420.649,24,212.46,223.11
A,USD,STD,INDL,C,001690,30/09/15,APPLE INC,AAPL,0000320193,14,3663,89378,35490,,,,,,,290479,,21.3946,119355,21120,41601,0.056,0,2500,3500,6000,3775,5581,10999,53463,2349,80610,772,8499,49257,,22471,0,0,0,91939,119355,24062,8768,129589,10500,11627,0,,11627,71230,81730,9.22,9.22,9.28,9.28,53394,53394,71230,81730,72515,233715,233715,1800,,733,722,,151985,200,8067,22396,,,,5400,343,11247,,11561,-238,-3124,0,5793.069,5578.753,5578.753,5753.421,55963,110,105.26,110.3
A,USD,STD,INDL,C,001690,30/09/16,APPLE INC,AAPL,0000320193,14,3663,106869,37294,,,,,,,321686,,24.0339,128249,20484,67155,0.053,0,3500,6500,6834,6454,7750,11605,75427,2132,79006,929,8105,61245,,27010,0,0,0,96998,128249,26019,27863,121576,9800,12188,0,,12188,59476,69276,8.31,8.31,8.35,8.35,45687,45687,59476,69276,61372,215091,215091,,,1456,1400,,145815,,10045,24239,,,,1791,297,12734,,12150,217,1044,0,5500.281,5336.166,5336.166,5470.82,78927,116,115.82,113.05
A,USD,STD,INDL,C,001690,30/09/17,APPLE INC,AAPL,0000320193,14,3663,128645,49049,,,,,,,375319,,26.1494,134047,20289,74181,0.051,0,6496,8863,9220,7750,10297,18473,97207,4855,100814,1223,11977,75076,,33783,0,0,0,98180,134047,31504,27831,131648,9400,12803,0,,12803,61344,70744,9.21,9.21,9.27,9.27,48351,48351,61344,70744,64089,229234,229234,,,2323,2200,,158490,,11581,26842,,,,9618,329,12451,,12769,-2723,-6347,0,5251.692,5126.201,5126.201,5217.242,103703,123,169.23,154.12
