(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(cik) CIK Number,(datadate) Data Date,(gvkey) Global Company Key,(conm) Company Name,(tic) Ticker Symbol,(exchg) Stock Exchange Code,(sic) Standard Industry Classification Code,(act) Current Assets - Total,(ap) Accounts Payable - Trade,"(apb) Accounts Payable/Creditors - Brokers, Dealers, and Cleari",(apc) Accounts Payable/Creditors - Customer,(apofs) Accounts Payable/Creditors - Other - FS,"(arb) Accounts Receivable/Debtors - Brokers, Dealers, and Clear",(arc) Accounts Receivable/Debtors - Customer,(artfs) Accounts Receivable/Debtors - Total,(at) Assets - Total,(bast) Average Short-Term Borrowings,(bkvlps) Book Value Per Share,(ceq) Common/Ordinary Equity - Total,(ch) Cash,(che) Cash and Short-Term Investments,(cstk) Common/Ordinary Stock (Capital),(dcpstk) Convertible Debt and Preferred Stock,(dd1) Long-Term Debt Due in One Year,(dd2) Debt - Due in 2nd Year,(dd3) Debt - Due in 3rd Year,(dd4) Debt - Due in 4th Year,(dd5) Debt - Due in 5th Year,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(invt) Inventories - Total,(lct) Current Liabilities - Total,(mrc1) Rental Commitments - Minimum - 1st Year,(np) Notes Payable - Short-Term Borrowings,"(ppegt) Property, Plant and Equipment - Total (Gross)","(ppenb) Property, Plant, and Equipment - Buildings (Net)","(ppent) Property, Plant and Equipment - Total (Net)",(pstk) Preferred/Preference Stock (Capital) - Total,(pstkl) Preferred Stock - Liquidating Value,(pstkrv) Preferred Stock - Redemption Value,(re) Retained Earnings,(seq) Stockholders Equity - Parent,(txditc) Deferred Taxes and Investment Tax Credit,(wcap) Working Capital (Balance Sheet),(cogs) Cost of Goods Sold,(dp) Depreciation and Amortization,(dvc) Dividends Common/Ordinary,(dvp) Dividends - Preferred/Preference,(dvpd) Cash Dividends Paid,(dvt) Dividends - Total,(ebit) Earnings Before Interest and Taxes,(ebitda) Earnings Before Interest,(epsfi) Earnings Per Share (Diluted) - Including Extraordinary,(epsfx) Earnings Per Share (Diluted) - Excluding Extraordinary,(epspi) Earnings Per Share (Basic) - Including Extraordinary It,(epspx) Earnings Per Share (Basic) - Excluding Extraordinary It,(ib) Income Before Extraordinary Items,(ni) Net Income (Loss),(oiadp) Operating Income After Depreciation,(oibdp) Operating Income Before Depreciation,(pi) Pretax Income,(revt) Revenue - Total,(sale) Sales/Turnover (Net),(xad) Advertising Expense,(xagt) Administrative and General Expense - Total,(xint) Interest and Related Expense - Total,(xintd) Interest Expense - Long-Term Debt,(xlr) Staff Expense - Total,(xopr) Operating Expenses - Total,(xpr) Pension and Retirement Expense,(xrd) Research and Development Expense,"(xsga) Selling, General and Administrative Expense",(xstf) Staff Expense (Income Account),(xstfws) Staff Expense - Wages and Salaries,(xt) Expense - Total,(apalch) Accounts Payable and Accrued Liabilities - Increase/(D,(aqc) Acquisitions,(capx) Capital Expenditures,(cdvc) Cash Dividends on Common Stock (Cash Flow),(dv) Cash Dividends (Cash Flow),(invch) Inventory - Decrease (Increase),(recch) Accounts Receivable - Decrease (Increase),(sppe) Sale of Property,(cshfd) Common Shares Used to Calc Earnings Per Share - Fully D,(cshi) Common Shares Issued,(csho) Common Shares Outstanding,(cshpri) Common Shares Used to Calculate Earnings Per Share - B,(dt) Total Debt Including Current,(emp) Employees,(prcc_c) Price Close - Annual - Calendar,(prcc_f) Price Close - Annual - Fiscal
A,USD,STD,INDL,C,0000002488,31/12/2015,001161,ADVANCED MICRO DEVICES,AMD,14,3674,2320,524,,,,,,,3109,,-0.5202,-412,785,785,8,0,230,0,0,600,450,230,2032,678,1403,51,0,984,,188,0,0,0,-7314,-412,0,917,2784,97,0,0,,0,-319,-222,-0.84,-0.84,-0.84,-0.84,-660,-660,-319,-222,-646,3991,3991,,,158,,,4213,16,947,1429,,,,,0,96,,0,-11,280,8,783,806,792,783,2262,9.139,2.87,2.87
A,USD,STD,INDL,C,0000002488,31/12/2016,001161,ADVANCED MICRO DEVICES,AMD,14,3674,2530,823,,,,,,,3321,,0.4449,416,,1264,9,0,0,0,196,0,0,0,1435,751,1346,49,0,881,,164,0,0,0,-7808,416,11,1184,2863,71,0,0,,0,-130,-59,-0.6,-0.6,-0.6,-0.6,-497,-497,-130,-59,-458,4272,4272,131,,156,,,4331,16,1008,1468,,,,,0,77,,0,-73,222,0,835,949,935,835,1435,8.2,11.34,11.34
A,USD,STD,INDL,C,0000002488,31/12/2017,001161,ADVANCED MICRO DEVICES,AMD,14,3674,2622,796,,,,,,,3540,,0.6319,611,1185,1187,9,0,0,166,0,0,347,70,1325,739,1486,40,70,1001,,261,0,0,0,-7754,611,11,1136,3429,77,0,0,,0,152,229,0.04,0.04,0.04,0.04,43,43,152,229,62,5329,5329,156,,126,,,5100,18,1160,1671,,,,,0,113,,0,12,-89,0,1039,979,967,952,1325,8.9,10.28,10.28
A,USD,STD,INDL,C,0000002488,31/12/2018,001161,ADVANCED MICRO DEVICES,AMD,14,3674,3540,1061,,,,,,,4556,,1.2597,1266,1078,1161,10,532,0,0,0,337,0,136,1114,845,1984,54,136,1055,,348,0,0,0,-7444,1266,11,1556,3889,94,0,0,,0,496,590,0.32,0.32,0.34,0.34,337,337,496,590,328,6475,6475,176,,121,,,5885,21,1434,1996,,,,,0,163,,0,-151,-806,0,1064,1010,1005,982,1114,10.1,18.46,18.46
A,USD,STD,INDL,C,0000002488,31/12/2019,001161,ADVANCED MICRO DEVICES,AMD,14,3674,4597,1201,,,,,,,6028,,2.4162,2827,1466,1507,12,175,43,0,312,0,0,43,685,982,2359,54,0,1473,,705,0,0,0,-7095,2827,11,2238,3721,142,0,0,,0,583,725,0.3,0.3,0.31,0.31,341,341,583,725,372,6731,6731,217,,94,,,6006,25,1547,2285,,,,,0,217,,0,-137,-623,0,1120,1175,1170,1091,728,11.4,45.86,45.86
A,USD,STD,INDL,C,0000002488,31/12/2020,001161,ADVANCED MICRO DEVICES,AMD,14,3674,6143,546,,,,,,,8962,,4.82,5837,1595,2290,12,19,41,312,0,0,0,41,531,1399,2417,52,0,1761,,849,0,0,0,-4588,5837,11,3726,5199,217,0,0,,0,1383,1600,2.06,2.06,2.1,2.1,2490,2490,1383,1600,1280,9763,9763,314,,47,,,8163,29,1983,2964,,,,,0,294,,0,-417,-209,0,1207,1217,1211,1184,572,12.6,91.71,91.71
A,USD,STD,INDL,C,0000002488,31/12/2021,001161,ADVANCED MICRO DEVICES,AMD,14,3674,8583,1406,,,,,,,12419,,6.2113,7497,2535,3608,12,1,383,0,0,0,1,383,349,1955,4240,89,0,2203,,1069,0,0,0,-1454,7497,12,4343,8209,296,0,0,,0,3678,3974,2.57,2.57,2.61,2.61,3162,3162,3678,3974,3675,16434,16434,578,,34,,,12460,35,2845,4251,,,,,0,301,,0,-556,-632,0,1229,1232,1207,1213,732,15.5,143.9,143.9
A,USD,STD,INDL,C,0000002488,31/12/2022,001161,ADVANCED MICRO DEVICES,AMD,14,3674,15019,2956,,,,,,,67580,,33.964,54750,4835,5855,16,1,93,750,0,1,0,93,2863,3771,6369,109,0,3480,,1973,0,0,0,-172,54750,1934,8650,10918,3987,0,0,,0,1683,5670,0.84,0.84,0.85,0.85,1320,1320,1683,5670,1198,23601,23601,683,,88,,,17931,47,5005,7013,,,,,-822,450,,0,-1401,-1104,0,1571,1645,1612,1561,2956,25,64.77,64.77
A,USD,STD,INDL,C,0000002488,31/12/2023,001161,ADVANCED MICRO DEVICES,AMD,14,3674,16768,2418,,,,,,,67885,,34.5866,55892,3933,5773,17,0,857,0,,,,857,2252,4351,6689,132,0,4009,,2222,0,0,0,713,55892,1202,10079,10833,3252,0,0,,0,629,3881,0.53,0.53,0.53,0.53,854,854,629,3881,508,22680,22680,695,,106,,,18799,70,5872,7966,,,,,131,546,,0,-580,-1257,0,1625,1663,1616,1614,3109,26,147.41,147.41
A,USD,STD,INDL,C,0000002488,31/12/2024,001161,ADVANCED MICRO DEVICES,AMD,14,3674,19049,2466,,,,,,,69226,,35.492,57568,3787,5156,17,0,109,0,0,0,0,109,2212,5734,7281,134,0,4598,,2425,0,0,0,2295,57568,349,11768,11594,2848,0,0,,0,2290,5138,1,1,1.01,1.01,1641,1641,2290,5138,2022,25785,25785,1200,,92,,,20647,78,6456,9053,,,,,548,636,,0,-1458,-1865,0,1637,1680,1622,1620,2321,28,120.79,120.79
