gvkey,iid,cik,first_date,last_date
145046,01,1156039,2001-08-16,2025-07-17
211897,01W,1073965,1999-04-09,2007-05-10
018636,01,835403,2002-11-12,2024-08-01
002410,90,313807,1999-04-01,2024-10-29
145046,03,1156039,2001-08-16,2025-07-17
179514,01,700978,2002-11-05,2014-05-08
008546,90W,313216,1999-03-23,2025-05-06
221612,02W,1126113,2002-10-31,2006-11-01
018636,01W,835403,2002-11-12,2024-08-01
008546,03W,313216,1999-03-23,2025-05-06
061214,96W,937966,2003-03-14,2025-07-16
061214,99W,937966,2003-03-14,2025-07-16
112005,01,1059579,1998-08-13,2008-08-19
007106,01,85608,1995-05-15,2011-11-14
001234,01,701288,1995-03-31,2024-08-09
155755,01,1183075,2003-03-14,2007-03-26
060914,01,944314,1996-05-15,2016-05-04
138321,01,789356,2000-05-25,2011-05-06
028176,01,896622,1996-05-10,2025-08-01
063405,01,886744,1996-07-31,2025-08-06
003905,01,730464,1996-09-24,2025-08-07
006003,01,703361,1994-02-07,2019-02-06
065556,01W,1043219,1997-11-10,2025-07-23
166572,02,1360537,2006-09-25,2008-11-14
106518,01,1040799,1997-08-14,2017-08-09
065556,08,1043219,1997-11-10,2025-07-23
064356,01,936395,1997-02-11,2025-06-05
014238,01,814904,1996-07-12,2015-07-07
177182,01,1385508,2007-01-11,2022-11-14
009216,01,84748,1994-03-31,2025-08-01
010345,02,96412,1995-05-16,2011-05-06
004094,01,1059556,1998-05-22,2025-07-24
023943,01,767920,1996-05-15,2015-11-03
141278,01,890394,2000-08-04,2021-11-12
111407,01,1092083,1999-11-03,2011-08-31
025361,01,886171,1996-05-09,2018-11-06
144135,01,1344632,2006-08-29,2011-04-01
162075,01,895421,1996-05-15,2025-08-04
030576,01W,926282,1996-05-13,2025-08-05
160205,01,744218,2008-01-10,2025-08-07
063531,03,65770,1996-08-28,2025-08-08
035592,01,5513,1995-08-14,2025-04-30
206703,08W,1015111,2002-11-07,2008-04-23
034178,01,1280784,2005-06-08,2025-07-31
178283,01,65100,1994-03-30,2013-08-02
007267,35,65100,1994-03-30,2013-08-02
181941,01,65100,1994-03-30,2013-08-02
012124,21,895421,1996-05-15,2025-08-04
180389,01,65100,1994-03-30,2013-08-02
162075,40,895421,1996-05-15,2025-08-04
180561,01,895421,1996-05-15,2025-08-04
179906,01,895421,1996-05-15,2025-08-04
007267,01,65100,1994-03-30,2013-08-02
007267,39,65100,1994-03-30,2013-08-02
216305,01,895421,1996-05-15,2025-08-04
181100,01,65100,1994-03-30,2013-08-02
216455,01,65100,1994-03-30,2013-08-02
007267,32,65100,1994-03-30,2013-08-02
010443,01,1024725,1996-12-09,2022-10-31
163891,01,1324272,2005-04-25,2023-05-05
007866,02,71691,1994-03-21,2025-08-06
028397,01,901491,1996-04-23,2025-08-07
001414,02,1475922,2009-11-05,2025-08-07
008579,01,278130,1994-01-10,2020-01-06
063863,01,896264,1996-05-15,2025-08-05
020904,01,859737,1995-05-08,2025-05-02
039111,01,1793663,2021-06-25,2025-08-07
160214,01,1096339,2000-02-16,2022-04-15
065280,01,1038277,1997-09-29,2025-08-13
141720,04,1161154,2017-05-03,2021-02-19
002960,01,19584,1994-03-29,2025-04-28
025633,04,888491,1996-05-09,2025-08-01
118122,90W,1521332,2011-05-25,2025-05-01
112721,02,921557,1996-05-15,2025-08-07
017239,01,740260,1995-05-11,2025-07-31
024704,01,1745041,2018-06-28,2023-02-24
100477,03W,1159152,2002-11-15,2025-05-20
203944,01W,1160846,2002-12-19,2021-11-15
187418,02,1515805,2011-06-08,2016-04-07
177109,01,1388430,2007-02-07,2021-11-05
204203,02W,1221029,2012-01-06,2025-04-29
144009,01W,1140536,2001-05-31,2025-08-01
024731,22,879101,1996-05-06,2024-05-03
008530,05W,78003,1994-03-25,2025-08-05
142254,01,1083944,2000-05-12,2012-11-20
146567,01,869187,1997-06-05,2016-05-20
